ref	pos	strand	u	d	ur	pval	passed
1	944475	+	109	224	0.48660714285714285	7.039663211576541e-207	true
1	963185	+	4	23	0.17391304347826086	8.71369052755475e-7	true
1	999131	-	10	159	0.06289308176100629	1.5012910200746457e-10	true
1	1014332	+	49	334	0.1467065868263473	3.593310412883699e-64	true
1	1048884	+	14	128	0.109375	1.3871283525384503e-17	true
1	1055549	+	41	254	0.16141732283464566	8.840861896509161e-56	true
1	1231569	-	9	76	0.11842105263157894	3.997915528822146e-12	true
1	1314332	-	26	112	0.23214285714285715	1.9148977554459523e-40	true
1	1336315	-	20	105	0.19047619047619047	1.4327289917058097e-29	true
1	1342389	-	11	77	0.14285714285714285	1.904297266567522e-15	true
1	1599638	-	6	79	0.0759493670886076	2.3906407977418636e-7	true
1	2050585	+	13	20	0.65	2.667549091056977e-28	true
1	3884219	+	4	8	0.5	7.156942627892348e-9	false
1	3884220	+	4	8	0.5	7.156942627892348e-9	false
1	6099974	+	13	118	0.11016949152542373	1.790723041622885e-16	true
1	6221386	-	18	159	0.11320754716981132	1.8316640655265928e-22	true
1	10379873	+	5	21	0.23809523809523808	6.421698760449497e-9	true
1	11975276	+	14	215	0.06511627906976744	2.0672726879269543e-14	true
1	16396655	+	315	380	0.8289473684210527	0.0	true
1	16987123	-	13	107	0.12149532710280374	4.8171247556461677e-17	true
1	17033138	-	15	703	0.021337126600284494	1.530363492035346e-8	true
1	18872033	-	6	19	0.3157894736842105	2.748753709535803e-11	true
1	19306126	-	8	177	0.04519774011299435	1.3460430511843868e-7	true
1	19311960	-	31	238	0.13025210084033614	1.5944290459220173e-39	true
1	20485523	-	6	19	0.3157894736842105	2.748753709535803e-11	true
1	20652451	-	11	136	0.08088235294117647	1.1680036317069033e-12	true
1	20652513	-	17	509	0.03339882121807466	1.8316237601462337e-12	true
1	21217834	-	20	155	0.12903225806451613	5.707315762246283e-26	true
1	26826836	+	5	41	0.12195121951219512	2.242634452643477e-7	true
1	28536007	+	7	143	0.04895104895104895	4.789458552605567e-7	true
1	31424844	+	7	78	0.08974358974358974	7.253241144687571e-9	true
1	31488635	-	4	9	0.4444444444444444	1.284965538092324e-8	false
1	31635482	-	68	156	0.4358974358974359	2.1353398269752305e-125	true
1	32336019	-	23	401	0.057356608478802994	1.818143646083969e-21	true
1	32775814	-	52	497	0.10462776659959759	4.7919211339763086e-60	true
1	35192634	-	14	275	0.05090909090909091	5.97287644991689e-13	true
1	35434604	-	6	48	0.125	1.1485323992703639e-8	true
1	35565373	+	21	64	0.328125	1.3516357838292942e-36	true
1	36180761	+	16	87	0.1839080459770115	1.0893654985376405e-23	true
1	37808098	+	8	71	0.11267605633802817	9.494646075822018e-11	true
1	38991487	+	24	151	0.15894039735099338	3.7983679923952196e-33	true
1	40980141	+	11	16	0.6875	1.4880118891304725e-24	true
1	41028080	-	6	17	0.35294117647058826	1.260693381838449e-11	true
1	42766676	-	35	80	0.4375	2.1139149143815647e-65	true
1	43363009	+	6	60	0.1	4.534698063337973e-8	true
1	43453698	-	6	17	0.35294117647058826	1.260693381838449e-11	true
1	43591170	+	10	20	0.5	1.94606515601332e-20	true
1	43979323	+	10	73	0.136986301369863	5.612168382525136e-14	true
1	46188858	-	6	47	0.1276595744680851	1.0077129732917821e-8	true
1	46192531	-	8	204	0.0392156862745098	3.968286742604022e-7	true
1	46286302	-	9	127	0.07086614173228346	4.297091827061667e-10	true
1	51236583	+	9	87	0.10344827586206896	1.3946651990414237e-11	true
1	51251139	-	4	11	0.36363636363636365	3.3482517903547526e-8	true
1	52355798	-	19	89	0.21348314606741572	3.379215163056238e-29	true
1	87328673	+	7	63	0.1111111111111111	1.5837935534929774e-9	true
1	96448226	+	4	10	0.4	2.1361502088596754e-8	true
1	108637795	+	19	164	0.11585365853658537	7.979156110609845e-24	true
1	111443904	-	27	347	0.07780979827089338	1.8548653953705696e-28	true
1	111447110	-	9	244	0.036885245901639344	1.262824274424775e-7	true
1	111448684	-	9	277	0.032490974729241874	3.6651779549172187e-7	true
1	119919488	-	9	97	0.09278350515463918	3.776165170983127e-11	true
1	151340934	-	12	254	0.047244094488188976	6.254755745512158e-11	true
1	153752384	+	11	38	0.2894736842105263	3.84372707567806e-19	true
1	154963697	-	13	278	0.046762589928057555	1.1476330357149198e-11	true
1	155057035	+	12	339	0.035398230088495575	1.6651300596788218e-9	true
1	155057682	+	89	347	0.2564841498559078	8.913053526115189e-139	true
1	155057683	+	15	345	0.043478260869565216	8.736621677733756e-13	true
1	156743366	-	748	1245	0.6008032128514056	0.0	true
1	165827619	+	10	187	0.053475935828877004	7.32607972150923e-10	true
1	167162574	-	5	38	0.13157894736842105	1.5141062545598194e-7	true
1	180154981	+	26	91	0.2857142857142857	4.1083502645181256e-43	true
1	183023567	+	8	163	0.049079754601226995	7.142402960699044e-8	true
1	183116807	+	7	98	0.07142857142857142	3.59254018949566e-8	true
1	183117338	+	12	126	0.09523809523809523	1.5339102458870103e-14	true
1	183533767	+	18	70	0.2571428571428571	2.2930487205235925e-29	true
1	183552568	+	6	87	0.06896551724137931	4.249508445225989e-7	true
1	194189298	+	5	15	0.3333333333333333	9.629137721871249e-10	true
1	198157073	+	26	41	0.6341463414634146	7.47658774260405e-55	true
1	201484271	-	14	492	0.028455284552845527	1.2552524280149e-9	true
1	201485355	-	35	1088	0.03216911764705882	1.710350144501995e-23	true
1	206733544	+	13	110	0.11818181818181818	6.988876045612331e-17	true
1	207113042	+	5	14	0.35714285714285715	6.436512997977199e-10	true
1	209623166	-	9	37	0.24324324324324326	3.9043857198084736e-15	true
1	209629752	-	5	48	0.10416666666666667	5.029953544359263e-7	true
1	212445953	+	18	687	0.026200873362445413	2.2306348005567246e-11	true
1	214281206	+	16	89	0.1797752808988764	1.6135515008533812e-23	true
1	214330202	+	6	86	0.06976744186046512	3.967229070954006e-7	true
1	228098911	+	19	765	0.02483660130718954	1.5620503759661342e-11	true
1	229490008	-	16	166	0.0963855421686747	5.464697564297492e-19	true
1	230425843	-	4	21	0.19047619047619047	5.919590026015087e-7	true
1	230906462	-	5	25	0.2	1.658943677918618e-8	true
1	234430277	-	7	114	0.06140350877192982	1.0220077827603626e-7	true
1	235504214	-	7	46	0.15217391304347827	1.606552764681413e-10	true
1	248848474	+	22	76	0.2894736842105263	7.363527119209795e-37	true
1	248850173	-	30	77	0.38961038961038963	2.333507332001905e-54	true
10	809755	-	7	22	0.3181818181818182	5.473416064774911e-13	true
10	5853736	-	17	27	0.6296296296296297	2.970516225350903e-36	true
10	13347587	-	5	8	0.625	1.8293783194815444e-11	false
10	14520308	-	22	119	0.18487394957983194	4.5818489652444047e-32	true
10	32056117	-	35	417	0.08393285371702638	1.4498817884579822e-37	true
10	35336774	+	6	67	0.08955223880597014	8.868390999506579e-8	true
10	70146440	-	8	50	0.16	5.084891337083294e-12	true
10	70146619	-	8	71	0.11267605633802817	9.494646075822018e-11	true
10	74107254	+	8	171	0.04678362573099415	1.0330204518772129e-7	true
10	97498275	-	50	91	0.5494505494505495	1.752050699315431e-99	true
10	97717225	+	11	134	0.08208955223880597	9.91833169152658e-13	true
10	97717659	+	7	98	0.07142857142857142	3.59254018949566e-8	true
10	101066275	+	6	15	0.4	5.126355018910248e-12	true
10	103594572	+	9	23	0.391304347826087	2.6699452189590017e-17	true
10	109882554	-	10	102	0.09803921568627451	1.7689857007799898e-12	true
10	123155058	+	35	494	0.0708502024291498	5.433955011076907e-35	true
10	125667723	-	5	43	0.11627906976744186	2.865410132977976e-7	true
10	132228011	-	14	21	0.6666666666666666	1.2754797626106471e-30	true
10	132307787	-	4	20	0.2	4.804280875841644e-7	true
10	133281377	-	10	94	0.10638297872340426	7.684543565714399e-13	true
10	133285159	-	9	181	0.049723756906077346	9.753071413063716e-9	true
10	133308937	+	8	87	0.09195402298850575	4.983867239183104e-10	true
10	133355496	-	10	21	0.47619047619047616	3.704450592782457e-20	true
10	133362751	-	22	436	0.05045871559633028	2.055365734003572e-19	true
10	133394269	+	13	96	0.13541666666666666	1.1089157976882246e-17	true
