ref	pos	strand	u	d	ur	pval	passed
1	944475	+	77	158	0.4873417721518987	1.8788751672071232e-147	true
1	1014332	+	31	247	0.12550607287449392	2.7285666326323642e-39	true
1	1046450	+	8	78	0.10256410256410256	1.7296100130772796e-10	true
1	1048884	+	12	80	0.15	4.1983430733096857e-17	true
1	1050461	+	6	98	0.061224489795918366	7.580676012685959e-7	true
1	1055549	+	17	196	0.08673469387755102	1.8893198599234264e-19	true
1	1231569	-	7	69	0.10144927536231885	2.615981336106935e-9	true
1	1314332	-	11	66	0.16666666666666666	2.4940645141401606e-16	true
1	1336315	-	12	94	0.1276595744680851	3.196314536157104e-16	true
1	1342389	-	8	53	0.1509433962264151	7.0070951237970075e-12	true
1	2050585	+	5	13	0.38461538461538464	3.7208345293472937e-10	true
1	3884219	+	5	11	0.45454545454545453	1.342651374635532e-10	true
1	3884220	+	9	11	0.8181818181818182	1.5279325380431938e-21	true
1	6099974	+	12	95	0.12631578947368421	3.6479143310369217e-16	true
1	6221386	-	14	126	0.1111111111111111	8.200927005505157e-18	true
1	10379873	+	5	18	0.2777777777777778	2.445085555387664e-9	true
1	11975276	+	8	174	0.04597701149425287	1.0012879102003241e-7	true
1	16396171	+	13	481	0.02702702702702703	6.8782171619056546e-9	true
1	16396655	+	276	337	0.8189910979228486	0.0	true
1	16987123	-	12	81	0.14814814814814814	4.914316812991928e-17	true
1	16997163	-	7	59	0.11864406779661017	8.500382165206527e-10	true
1	17033138	-	12	605	0.019834710743801654	6.963209395548176e-7	false
1	19311960	-	17	151	0.11258278145695365	2.051522060167636e-21	true
1	20485523	-	9	18	0.5	1.3243775435568365e-18	true
1	20652451	-	13	120	0.10833333333333334	1.6983558558988957e-16	true
1	20652513	-	11	376	0.02925531914893617	4.40428200788178e-8	true
1	21217834	-	15	125	0.12	1.689884035668549e-19	true
1	26826836	+	6	36	0.16666666666666666	1.6550624087154853e-9	true
1	28536007	+	9	155	0.05806451612903226	2.0834084030574984e-9	true
1	31635482	-	36	96	0.375	1.626297398684002e-64	true
1	32336019	-	24	350	0.06857142857142857	2.222213087687775e-24	true
1	32775814	-	29	381	0.07611548556430446	1.95324629576917e-30	true
1	35565373	+	13	36	0.3611111111111111	5.715546386354564e-24	true
1	36180761	+	14	79	0.17721518987341772	8.49025828126284e-21	true
1	37808098	+	6	54	0.1111111111111111	2.091543002839727e-8	true
1	38991487	+	15	123	0.12195121951219512	1.314875747449048e-19	true
1	41028080	-	11	30	0.36666666666666664	1.4060856567577593e-20	true
1	42766676	-	38	82	0.4634146341463415	1.7722329255182144e-72	true
1	43591170	+	8	24	0.3333333333333333	6.301464379812186e-15	true
1	51236583	+	9	61	0.14754098360655737	4.186386449652826e-13	true
1	51251139	-	10	16	0.625	6.860075033286407e-22	true
1	52355798	-	9	67	0.13432835820895522	1.0149552775933526e-12	true
1	108637795	+	10	144	0.06944444444444445	4.5738307149184525e-11	true
1	109310951	-	4	7	0.5714285714285714	3.2877192123783518e-9	false
1	111443904	-	22	313	0.07028753993610223	1.0333490521064542e-22	true
1	111447110	-	8	210	0.0380952380952381	4.1986166803275023e-7	true
1	111448684	-	8	197	0.04060913705583756	2.586588875594487e-7	true
1	151340934	-	15	230	0.06521739130434782	1.7541526717075074e-15	true
1	151776098	-	4	17	0.23529411764705882	2.1805294638855354e-7	true
1	153752384	+	13	29	0.4482758620689655	1.7129760771313613e-25	true
1	154963697	-	19	190	0.1	9.400853902318418e-23	true
1	155057682	+	80	309	0.2588996763754045	4.746585699050903e-126	true
1	156114877	+	18	521	0.0345489443378119	1.64083824731782e-13	true
1	156742111	-	11	394	0.027918781725888325	7.04727196774931e-8	true
1	156743366	-	533	894	0.5961968680089486	0.0	true
1	167553726	-	6	100	0.06	8.539243275008194e-7	true
1	180154981	+	13	62	0.20967741935483872	1.9057902741812784e-20	true
1	183117338	+	9	108	0.08333333333333333	8.276048750387795e-11	true
1	183533767	+	24	78	0.3076923076923077	4.832340645079985e-41	true
1	194189298	+	4	9	0.4444444444444444	1.1776818365770719e-8	false
1	198157073	+	19	29	0.6551724137931034	4.733480467650977e-41	true
1	201484162	-	13	339	0.038348082595870206	1.0227979666826214e-10	true
1	201485355	-	20	913	0.02190580503833516	2.9018896933992474e-11	true
1	202951134	-	11	243	0.04526748971193416	4.86625573641384e-10	true
1	206733544	+	6	71	0.08450704225352113	1.1083804339143268e-7	true
1	212445953	+	14	507	0.027613412228796843	1.3971867358751489e-9	true
1	214281206	+	6	69	0.08695652173913043	9.327014524786189e-8	true
1	229490008	-	17	121	0.14049586776859505	4.0689101237916935e-23	true
1	230425843	-	5	23	0.21739130434782608	9.478545005452113e-9	true
1	230906462	-	4	19	0.21052631578947367	3.5334731995749196e-7	true
1	234430277	-	8	90	0.08888888888888889	5.531227352840947e-10	true
1	236483517	+	4	13	0.3076923076923077	6.616470022221191e-8	true
1	248848066	+	6	81	0.07407407407407407	2.445549550707079e-7	true
1	248848474	+	17	65	0.26153846153846155	4.057083104358896e-28	true
1	248850173	-	24	57	0.42105263157894735	4.896282078360019e-45	true
10	809755	-	5	26	0.19230769230769232	1.8385580667926803e-8	true
10	5853735	-	7	17	0.4117647058823529	5.4343915526507384e-14	true
10	5853736	-	11	17	0.6470588235294118	3.3063105095467744e-24	true
10	13347587	-	3	4	0.75	1.2108878146021426e-7	false
10	14520308	-	19	97	0.1958762886597938	1.3487436049867442e-28	true
10	32056117	-	23	301	0.07641196013289037	1.6647804903309535e-24	true
10	56358711	-	7	129	0.05426356589147287	2.0583151298834765e-7	true
10	70146440	-	6	31	0.1935483870967742	6.340444031250053e-10	true
10	70146619	-	7	54	0.12962962962962962	4.4733750642721503e-10	true
10	97498275	-	26	58	0.4482758620689655	1.406399157867144e-49	true
10	97717225	+	9	96	0.09375	2.8371936736381372e-11	true
10	97717659	+	6	71	0.08450704225352113	1.1083804339143268e-7	true
10	101066218	+	5	14	0.35714285714285715	5.772929743280249e-10	true
10	103594572	+	7	15	0.4666666666666667	1.8079957628948035e-14	true
10	123155058	+	37	409	0.09046454767726161	3.575752990783423e-41	true
10	132228011	-	8	17	0.47058823529411764	2.123721488263357e-16	true
10	133281377	-	11	94	0.11702127659574468	1.479845876917059e-14	true
10	133355496	-	7	22	0.3181818181818182	4.700901400521413e-13	true
10	133362751	-	18	321	0.056074766355140186	4.011758366094552e-17	true
